название вакансии,URL,Название компании,Описание
Младший специалист игрового проекта,https://hh.ru/vacancy/30424510?query=Python, Иннова,"Принимать участие в написании скриптов и исправлении ошибок. Помогать в организации внутриигровых событий. Разрабатывать план игровых событий. Организовывать тестирования обновления...Опыт игры в Ragnarok Online. Знание языков программирования Lua, Python, С++. Опыт работы в игровой индустрии, в особенности на позициях..."
Специалист/Старший специалист по автоматизированному тестированию,https://hh.ru/vacancy/29924691?query=Python, Синимекс,"Подготовка тестовых данных. Подготовка отчета по результатам тестирования. Взаимодействие с другими участниками рабочей группы проекта (аналитик, разработчики, архитекторы). Знание и понимание принципов ООП, опыт работы с ЯП (Java, Groovy, Python, JS, Ruby, C/C++). Опыт работы с xpath. "
Специалист по тестированию,https://hh.ru/vacancy/30750368?query=Python, Лаборатория Касперского,"Тестирование ПО. Документирование результатов тестирования: занесение дефектов в багтрекинговую систему, составление отчетов о тестировании. Автоматизация тестирования ПО. Настройка и поддержка...Умение работать с требованиями. Опыт автоматизации тестирования на Python. Знание OS семейства Linux. Технический английский. Знания сетевых технологий (сетей, протоколов). "
Инженер-программист,https://hh.ru/vacancy/31000158?query=Python,ООО ЗСА РИТМ,"Разработка программ и программ продуктов фирмы. Выполнение тестирования программ по разным методикам. Редактирование документации и руководств к программам. Требуется хорошее знание следующих технологий и языков программирования: dotNET 4, C#, XAML, WPF, Python. Также нужно быть знакомым с основами..."
Инженер-верификатор ПЛИС,https://hh.ru/vacancy/31036900?query=Python," Гамма, ФГУП, НПП","Внедрение электронного документооборота. Готовое решение для управления и постановки задач. Стабильный Design Flow. Планируем к внедрению CI/CD для FPGA. ...среде MATLAB и Simulink. Знание С/С++ или System C. Знание основ схемотехники. Знание скриптовых языков (Bash, TCL, Python, etc)."
Технический аналитик,https://hh.ru/vacancy/29712170?query=Python,ООО Ростелеком Информационные Технологии,"Взаимодействие с заказчиком, анализ требований/намеков от заказчика к бизнес-слою бэкенда. Формирование бизнес-функциональных, технических и пр. требований. Опыт написания/чтения кода на любом современном языке (Java, Golang, Python, Perl, Ruby, C/C++ - преимущество). Работа с БД на..."
Инженер по информационной безопасности,https://hh.ru/vacancy/30908784?query=Python," ГЕМ, Холдинг","Работа с сотрудниками по вопросам информационной безопасности и обработке персональных данных, согласно требованиям законодательства РФ. Осуществление мероприятий по информационной безопасности. ...отдельных подсистем и системы в целом. Понимание принципов ООП и программирования в целом. Знание серверных языков Python,Java или др."
Инженер-электронщик,https://hh.ru/vacancy/30790332?query=Python,АО НЭПТ,Участие в разработке аппаратно-программных продуктов на базе микроконтроллеров. Проведение испытаний макетных и опытных образцов изделий. Разработка программ-методик испытаний. ...и запуска в производство цифровых устройств на основе микроконтроллеров; знание Python или другого скриптового языка; знания в области систем безопасности.
Архитектор/ Chief technical officer/ СТО,https://hh.ru/vacancy/30453124?query=Python, ProfiStaff,"...или продуктов/ сервисов и т.п. Технологии: JavaScript/React/NodeJS, Python, С++/Qt, Go, Postgres, MariaDB, RabbitMQ, GitLab, TeamCity, Docker...Сильный технический бэкграунд. Знание/ понимание/ опыт работы с: JavaScript/ React/ NodeJS, Python, С++/ Qt, Go, Postgres, MariaDB, RabbitMQ, GitLab, TeamCity..."
ETL- разработчик,https://hh.ru/vacancy/29433181?query=Python,ПАО МТС,"Проектирование и разработка процессов преобразования данных (ETL) для хранилища данных. Написание скриптов на SQL, Python. Работа с большими объемами данных...Умение писать/разбираться в коде программы на Java/JS/python. Обладаете знаниями по стеку технологий Hadoop. У вас был опыт..."
